FID,VolcanoNumber,VolcanoName,SO2_Kilotons,StartDate,EndDate,Emission_ID
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49cc,266030,Soputan,16,20081006,20081006,144
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49cb,266030,Soputan,10,20110703,20110703,145
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49ca,266030,Soputan,2,20110814,20110814,146
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49c9,266030,Soputan,2,20120827,20120827,147
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49c8,266030,Soputan,10,20120918,20120918,148
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49c7,266030,Soputan,2,20150202,20150202,149
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49c6,266030,Soputan,3,20160105,20160105,150
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49c5,266030,Soputan,5,20160206,20160206,151
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49c4,266100,Lokon-Empung,20,19911025,19911025,152
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49c3,267010,Ruang,80,20020926,20020926,153
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49c2,268040,Gamkonora,1,20070709,20070709,154
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49c1,268060,Gamalama,5,20030731,20030731,155
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49c0,268060,Gamalama,8,20111204,20111204,156
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49bf,268070,Makian,50,19880729,19880729,157
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49be,272020,Kanlaon,10,19850314,19850314,158
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49bd,273010,Bulusan,1,20060321,20060321,159
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49bc,273010,Bulusan,0.5,20070408,20070408,160
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49bb,273010,Bulusan,1,20070512,20070512,161
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49ba,273010,Bulusan,1,20070731,20070731,162
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49b9,273010,Bulusan,1.2,20110221,20110221,163
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49b8,273030,Mayon,50,19840913,19840913,164
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49b7,273083,Pinatubo,18194,19910613,19910615,165
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49b6,282050,Kuchinoerabujima,4,20150529,20150529,166
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49b5,282090,Kirishimayama,30,20110126,20110126,167
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49b4,283040,Ontakesan,1,20140927,20140927,168
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49b3,283110,Asamayama,101,20040901,20040915,169
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49b2,284010,Izu-Oshima,22,19861119,19861119,170
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49b1,284040,Miyakejima,64,20000818,20000828,171
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49b0,284170,Pagan,320,19810515,19810515,172
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49af,284200,Anatahan,494,20030511,20030613,173
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49ae,284200,Anatahan,2324.2,20050405,20050903,174
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49ad,290240,Sarychev Peak,1200,20090615,20090615,175
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49ac,290360,Chikurachki,750,19861120,19861202,176
E3WebApp_Emissions.fid-285b36de_1728a7c6504_-49ab,290360,Chikurachki,5,20050312,20050312,177
